Date,Composite,BarAgg,SP500,CPI
06/30/2008,-1.34,-0.08,-8.43,1.01
07/31/2008,0.86,-0.08,-0.84,0.53
08/31/2008,0.9,0.95,1.45,-0.4
09/30/2008,-2.31,-1.34,-8.91,-0.14
10/31/2008,-0.98,-2.36,-16.8,-1.01
11/30/2008,-4.37,3.25,-7.18,-1.92
12/31/2008,-0.91,3.73,1.06,-1.03
01/31/2009,0.85,-0.88,-8.43,0.44
02/28/2009,-3.57,-0.38,-10.65,0.5
03/31/2009,2.51,1.39,8.76,0.24
04/30/2009,4.38,0.48,9.57,0.25
05/31/2009,6.28,0.73,5.59,0.29
06/30/2009,-0.94,0.57,0.2,0.86
07/31/2009,5.65,1.61,7.56,-0.16
08/31/2009,1.05,1.04,3.61,0.22
09/30/2009,1.43,1.05,3.73,0.06
10/31/2009,-0.77,0.49,-1.86,0.1
11/30/2009,0.7,1.29,6,0.07
12/31/2009,0.07,-1.56,1.93,-0.18
01/31/2010,0.24,1.53,-3.6,0.34
02/28/2010,0.39,0.37,3.1,0.02
03/31/2010,0.01,-0.12,6.03,0.41
04/30/2010,0.06,1.04,1.58,0.17
05/31/2010,1.04,0.84,-7.99,0.08
06/30/2010,1.65,1.57,-5.23,-0.1
07/31/2010,-0.48,1.07,7.01,0.02
08/31/2010,-2.16,1.29,-4.51,0.14
09/30/2010,1.45,0.11,8.92,0.06
10/31/2010,2.74,0.36,3.8,0.12
11/30/2010,-1.68,-0.57,0.01,0.04
12/31/2010,4.36,-1.08,6.68,0.17
01/31/2011,1.37,0.12,2.37,0.48
02/28/2011,-0.82,0.25,3.43,0.49
03/31/2011,-0.28,0.06,0.04,0.98
04/30/2011,-0.13,1.27,2.96,0.64
05/31/2011,0.25,1.31,-1.13,0.47
06/30/2011,-0.21,-0.29,-1.67,-0.11
07/31/2011,0.53,1.59,-2.03,0.09
08/31/2011,-0.11,1.46,-5.43,0.28
09/30/2011,-0.36,0.73,-7.03,0.15
10/31/2011,-3.15,0.11,10.93,-0.21
11/30/2011,-0.72,-0.09,-0.22,-0.08
12/31/2011,-1.88,1.1,1.02,-0.25
01/31/2012,0.49,0.88,4.48,0.44
02/29/2012,4.69,-0.02,4.32,0.44
03/31/2012,1.02,-0.55,3.29,0.76
